100,0.156789844
200,0.120943811
300,0.108428773
400,0.100217978
500,0.093743817
600,0.088188727
700,0.082991226
800,0.077872412
900,0.072950476
1000,0.068021711
1100,0.063151035
1200,0.058568784
1300,0.054379255
1400,0.050559929
1500,0.046975948
1600,0.043727074
1700,0.040692187
1800,0.037892407
1900,0.035318616
2000,0.032927861
2100,0.030701468
2200,0.028580854
2300,0.02650037
2400,0.024503797
2500,0.022587865
2600,0.020935694
2700,0.019335682
2800,0.017771175
2900,0.016444531
3000,0.015217441
